Full Name,Email,Date of Birth,Salary,Department,Start Date,Is Active,Employee ID,Review Scores,Notes
Allison Hill,donaldgarcia@example.net,9/7/1996,33001.29,Marketing,6/9/1988,TRUE,1017,"[3.7, 4.6]",
Javier Johnson,jesseguzman@example.net,2/7/1973,33575.67,Engineering,5/29/1965,TRUE,1071,"[3.9, 3.8, 2.7]",Information last everything thank serve civil institution.
Daniel Gallagher,daviscolin@example.com,8/27/2000,134316.04,Engineering,6/8/1984,FALSE,1035,"[1.9, 4.1, 1.4]",Southern role movie win her.
Sandra Montgomery,barbara10@example.net,1/30/1975,71274.69,Marketing,11/15/1975,FALSE,1046,"[4.9, 2.5]",World talk term herself law.
Carla Kelly,jacqueline19@example.net,3/21/1971,104222.37,Marketing,1/22/1948,TRUE,1090,"[1.2, 1.9]",Rock clear here writer policy news range.
Patty Perez,hornjenna@example.com,12/6/1973,57934.91,HR,8/15/1959,FALSE,1058,"[1.7, 2.4, 3.7, 3.8]",Then fire pretty how trip learn enter.
Justin Baker,zhurst@example.com,7/1/1974,106197.39,Finance,4/4/1966,TRUE,1059,"[2.1, 4.7, 3.8, 1.9, 2.3]",Meeting before another body.
Rebecca Henderson,cruzcaitlin@example.com,7/31/1995,128616.31,Marketing,4/28/1980,FALSE,1008,"[4.7, 3.3, 3.9]",Wife team activity result race.
Debra Davidson,cartereric@example.org,6/30/1977,136161.98,Support,8/27/1959,TRUE,1033,"[2.0, 3.2, 2.1]",Seven medical blood personal success medical current.
Christopher Ashley,georgetracy@example.org,4/9/1984,77928.06,Engineering,10/21/1980,FALSE,1011,"[4.4, 1.6]",Dream drive note bad rule.
Vanessa Patel,pdavidson@example.org,10/23/1970,101569.08,Sales,6/6/1956,FALSE,1067,"[4.9, 4.4, 1.0, 3.9]",Month parent who up sense.
Michelle Ross,samuel87@example.org,6/10/1976,62019.02,Support,12/3/1963,TRUE,1037,"[1.6, 1.0, 3.9, 3.9, 4.9]",Ask again network open according.
Amy Jones,heathchad@example.org,7/10/1978,42769.3,Support,11/16/1967,TRUE,1019,"[4.1, 3.2, 4.1, 3.1]",
Cindy Anderson,cheryljohnson@example.org,7/12/1972,32337.21,Marketing,6/22/1961,TRUE,1007,"[4.5, 4.8, 1.3]",Best issue interest level.
Megan Joyce,brownjessica@example.org,6/29/1976,121272.26,Engineering,6/22/1973,FALSE,1038,"[2.1, 4.5, 2.7]",Couple large instead everything economic.
Jessica Callahan,williamsyvette@example.org,12/2/1965,117591.73,Engineering,9/4/1954,FALSE,1085,"[2.8, 3.1, 1.5, 1.9]",Coach magazine degree husband around.
William Baker,smitchell@example.net,5/23/1997,57613.77,Engineering,10/23/1999,TRUE,1090,"[1.9, 4.6]",Choice father why often my security arm.
Kathryn Farrell,brianromero@example.org,3/27/1964,58560.56,Support,3/14/1945,TRUE,1069,"[3.9, 4.5, 3.3]",Attack technology identify walk now often always bank.
Krystal Stewart,james53@example.com,7/4/1986,78847.2,HR,11/23/1984,FALSE,1045,"[2.6, 4.5, 1.2, 3.6, 3.6]",
Matthew Bryant,smithchristine@example.net,5/18/1966,126071.1,HR,12/18/1957,TRUE,1024,"[2.8, 2.7, 2.1, 2.0, 4.7, 2.8]",Mrs media car give.
David Mitchell,tbass@example.com,3/13/2001,36070.6,Finance,4/11/2003,TRUE,1096,"[1.7, 2.9, 1.9]",Account stage federal professional voice care break.
Juan Nelson,jenniferharris@example.net,7/15/1977,75476.77,Sales,5/18/1968,FALSE,1036,"[3.8, 3.9, 4.1, 3.6, 2.9]",Major town suffer begin interest everybody about.
Mandy Green,barnold@example.net,3/25/1960,37018,Support,8/25/1938,TRUE,1095,"[1.2, 3.3, 3.0, 4.4]",Away third tough nation.
Lauren Hernandez,bobbydiaz@example.org,12/3/1983,39613.38,Engineering,8/3/1983,TRUE,1086,"[2.6, 4.8, 3.3]",Radio project government nice themselves.
Nicole Frost,michellecherry@example.org,8/18/1987,,HR,7/25/1971,FALSE,1033,"[3.7, 2.3, 2.1]",Conference under site.
Michael Moss,josephcobb@example.org,8/9/1985,84866.95,HR,12/5/1987,FALSE,1079,"[5.0, 1.3, 1.9, 2.1, 4.7, 4.5]",Teach develop staff.
Eric Pope,jeffreykeller@example.com,11/28/1981,48929.62,Finance,1/29/1971,TRUE,1085,"[2.2, 3.7, 4.8, 1.5, 1.5, 1.4]",Ten whom evidence political hundred.
Ms. Teresa Wilson,gregory40@example.org,3/2/2000,102579.58,Support,7/12/1987,TRUE,1087,"[3.0, 2.0, 4.6, 1.2]",Generation skill job worker break tonight.
Andrew Graham,michaeljones@example.net,1/16/1982,35290.41,Marketing,11/30/1978,FALSE,1020,"[3.2, 2.7, 1.0, 1.3, 4.5]",Finish summer rest feel finally impact I fast.
Jason Bentley,christinaturner@example.net,8/8/1959,130151.4,Finance,7/22/1937,TRUE,1055,"[1.2, 2.5, 4.7]",Expert involve oil pressure let.
Daniel Kennedy,donnacampbell@example.net,8/23/2002,,Marketing,12/17/1995,TRUE,1085,"[2.4, 3.2]",Friend stand seem pull different current agency each.
Samuel Jones,sandra17@example.com,12/16/2006,119937.31,Engineering,5/29/2002,TRUE,1052,"[1.7, 4.7]",Manager during prevent accept seem show.
Jeffery Thompson,pwilliams@example.org,8/20/1990,110388.86,Support,3/30/1982,FALSE,1020,"[2.5, 1.2]",Soon property write other.
Stephanie Salazar,jrivas@example.com,5/27/1970,140214.23,Marketing,6/14/1959,TRUE,1028,"[3.6, 2.6]",Late seem style everyone sing machine dream.
Micheal Young,meghan43@example.net,11/1/1969,122799.2,Marketing,10/19/1943,FALSE,1086,"[2.3, 1.1, 4.5, 2.0, 3.3, 4.9]",
Michael Mccarthy,perrymark@example.com,11/13/1987,71482.45,Marketing,1/12/1971,TRUE,1049,"[1.8, 1.2, 2.7, 3.1, 4.2, 3.7]",Deal information toward once.
Shannon Cannon,wwoods@example.com,2/10/1986,53644.22,Sales,9/17/1985,FALSE,1079,"[3.7, 1.5, 4.6, 3.0]",Mrs same son today major event.
Mr. Michael Yates,marycalhoun@example.net,12/2/1995,113665.01,Finance,12/12/1992,TRUE,1053,"[3.7, 4.6, 3.5, 2.2, 3.2]",
James Elliott,millerroy@example.com,12/9/1971,81586.58,Finance,6/19/1947,FALSE,1059,"[2.8, 1.9, 2.9, 4.6, 4.2]",Employee force lawyer.
Shawn Ramirez,fking@example.com,11/21/1960,91854.24,Support,11/8/1935,FALSE,1011,"[3.7, 1.9, 1.8]",
Amy Crane,debraharrington@example.net,4/24/1962,87016.36,HR,8/15/1944,FALSE,1080,"[1.8, 3.8, 3.0, 2.0, 3.6, 1.0]",Wear current after.
Cameron Caldwell,stevenscott@example.com,12/28/1970,42790.48,Sales,11/30/1963,TRUE,1089,"[2.9, 3.2, 4.7, 1.5, 1.5, 2.9]",Parent security boy standard who blue agent find.
Tina Sanders,charlesvaughn@example.net,2/6/1976,68075.75,Sales,5/11/1951,FALSE,1070,"[4.6, 4.0, 2.9, 2.0, 2.0]",Recent feeling range south.
